categorie_de_produit,sous_categorie_de_produit,risques_encourus_par_le_consommateur,nom_de_la_marque_du_produit,date_debut_fin_de_commercialisation,distributeurs,motif_du_rappel
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,MERCIER,Du 01/06/2020 au 14/01/2022,"Super U, Carrefour, Intermarché, Leclerc, Atac",Présence d'une teneur supérieure à la limite réglementaire d’oxyde d’éthylène dans un lot de stabilisant utilisé dans la glace.
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,MERCIER,Du 01/06/2020 au 14/01/2022,"Super U, Carrefour, Intermarché, Leclerc, Bi1",Présence d'une teneur supérieure à la limite réglementaire d’oxyde d’éthylène dans un lot de stabilisant utilisé dans la glace.
Alimentation,Aliments diététiques et nutrition,Substances interdites (au sens du Règlement UE 37/2010),Fleurance Nature,Du 12/01/2021 au 08/02/2022,Vente à distance - Vente par correspondance- Boutiques Fleurance Nature - Camion marchés locaux,Concentration d'Oxyde Éthylène supérieure à la réglementation en vigueur.
Bébés-Enfants (hors alimentaire),Jouets,Arrêt respiratoire,Keycraft,Du 23/07/2019 au 31/10/2021,"joueclub, Villaverde, Gammvert, King jouet, E.Leclerc","la couture de certain produit se déchire, laissant apparaitre la mousse."
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,Sans marque (Fournisseur SAUMEXTRA),Du 03/02/2022 au 09/02/2022,LRK DIS,Détection de Listeria monocytogenes
Hygiène-Beauté,Cosmétiques,Dommages internes,pb cosmetics,Du 31/10/2019 au 10/02/2022,pb cosmetics,Présence d'une substance interdite
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Arrêt respiratoire,Chaussettes de Noël 3D enfant,NA,ACTION,L’article mentionné ci-dessus comporte des yeux autocollants amovibles présentant un risque d’étouffement si mis dans la bouche d’un enfant.
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,Intermarché Auch,Du 18/01/2022 au 24/01/2022,Intermarché Auch,listeria
Alimentation,Lait et produits laitiers,Salmonella spp ,LA FROMAGERIE DU QUERCY,Du 07/02/2022 au 10/02/2022,"Intermarché, Cora, Leclerc, Affineur des Halles",Présence de Salmonella spp
Maison-Habitat,Produits chimiques,Intoxication,SIROCO,Du 01/01/2021 au 07/02/2022,"Intermarché, Super U, Carrefour Market","Produits non conforme et dangereux, teneur en alcool trop faible pour garantir les performances biocide attendues par ces produits"
Alimentation,Lait et produits laitiers,Salmonella spp ,LA FROMAGERIE DU QUERCY,Du 07/02/2022 au 10/02/2022,Costco,Présence de Salmonella spp
Alimentation,Lait et produits laitiers,Salmonella spp ,LA FROMAGERIE DU QUERCY,Du 03/02/2022 au 10/02/2022,"Francap, La ferme d'Alexandre, la crémerie parisienne, fermière St Michel, STE EURO distribution restauration, Pomona, Alredis SA",Présence de Salmonella spp
Alimentation,Lait et produits laitiers,Salmonella spp ,Itinéraire des Saveurs,Du 06/02/2022 au 11/02/2022,INTERMARCHE,Présence de Salmonella spp
Alimentation,Lait et produits laitiers,Salmonella spp ,CASINO CA VIENT D'ICI,Du 04/02/2022 au 10/02/2022,"CASINO, VIVAL, SPAR et réseaux de distribution de Casino",Présence de Salmonella spp
Alimentation,Lait et produits laitiers,Salmonella spp ,MONOPRIX GOURMET,Du 02/02/2022 au 10/02/2022,MONOPRIX,Présence de Salmonella spp
Alimentation,Lait et produits laitiers,Salmonella spp ,FRANPRIX,Du 04/02/2022 au 10/02/2022,FRANPRIX et réseaux de distribution de Franprix,Présence de Salmonella spp
Alimentation,Lait et produits laitiers,Salmonella spp ,LES DELICES DE BELLE FRANCE,Du 02/02/2022 au 10/02/2022,FRANCAP DISTRIBUTION,Présence de Salmonella spp
"Vêtements, Mode, EPI",Bijouterie,"Inertes (verre, métal, plastique, papier, textile…)",Aquarelle,Du 01/12/2018 au 03/01/2022,Auchan Leclerc intermarche super u  cora carrefour market,Jouet non conforme et dangereux petits éléments détachables (anneaux  métalliques)lors des essais de traction
Alimentation,Autres,Autres contaminants chimiques,/,Du 10/02/2022 au 10/02/2022,Auchan La Défense,Les produits ont été cuits dans un four en présence d'une pastille de nettoyage du four
Alimentation,Fruits et légumes,Autres contaminants chimiques Dépassement des limites autorisées de pesticides,MIS,Du 01/03/2021 au 02/01/2023,Voir pdf,"Dépassement des limites autorisées par la réglementation, relative à la présence de nicotine, métalaxyl et dithiocarbamates"
Alimentation,Autres,Substances allergisantes non déclarées,VIVRE VERT,Du 20/11/2021 au 05/02/2022,"Auchan, Casino, Cora, Carrefour, Carrefour Market, Intermarché, Leclerc.","Présence de l'allergène SOJA, alors que celui-ci n'est pas indiqué sur l'emballage."
Alimentation,Autres,Substances allergisantes non déclarées,VIVRE VERT,Du 13/11/2021 au 05/02/2022,"Leclerc, Auchan, Casino, Carrefour, Carrefour Market, Intermarché, Cora.",Présence de l'allergène SOJA alors que celui-ci n'est pas indiqué sur l'emballage.
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,Intermarché Auch,Du 13/01/2022 au 20/01/2022,Intermarché Auch,listeria
Alimentation,Noix et graines,Autre risque,"NATURAL HAPPINESS SEED MIX",Du 01/09/2021 au 11/02/2022,ACTION,"Une contamination par la salmonelle est apparue dans la chaîne d'approvisionnement, ce qui signifie que nous rappelons ce produit livré à nos clients par précaution."
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,creme crue,Du 01/01/2022 au 11/02/2022,"alimen'terre  a la chapelle vendomoise
 candepicerie  a cande sur beuvron
 la sologn'hotte 
 vival  a contres
 ouchamps des lyces  a ouchamps
 superette cocci market  a cour cheverny
  earl dufraisse   a cheverny",listeria monocytigenes
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,beurre nature et demi sel,Du 01/01/2022 au 11/02/2022,"alimen'terre  a la chapelle vendomoise
 candepicerie  a cande sur beuvron
 la sologn'hotte 
 vival  a contres
 ouchamps des lyces  a ouchamps
 superette cocci market  a cour cheverny
  earl dufraisse   a cheverny",presence listeria monocytogenes
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,fromage demi sec,Du 01/01/2022 au 11/02/2022,"alimen'terre  a la chapelle vendomoise
 candepicerie  a cande sur beuvron
 la sologn'hotte 
 vival  a contres
 ouchamps des lyces  a ouchamps
 superette cocci market  a cour cheverny
  earl dufraisse   a cheverny",presence listeria
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,faisselle,Du 01/01/2022 au 11/02/2022,"alimen'terre  a la chapelle vendomoise
 candepicerie  a cande sur beuvron
 la sologn'hotte 
 vival  a contres
 ouchamps des lyces  a ouchamps
 superette cocci market  a cour cheverny
  earl dufraisse   a cheverny",presence listeria
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,camembert,Du 01/01/2022 au 11/02/2022,"alimen'terre  a la chapelle vendomoise
 candepicerie  a cande sur beuvron
 la sologn'hotte 
 vival  a contres
 ouchamps des lyces  a ouchamps
 superette cocci market  a cour cheverny
  earl dufraisse   a cheverny",presence listeria
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,PITON DES NEIGES,NA,TOUTES ENSEIGNES,"Rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans un ingrédient entrant en faible quantité dans sa composition"
Alimentation,Aliments diététiques et nutrition,Produits phytosanitaires non autorisés,Vital Beauty,Du 06/10/2021 au 05/02/2022,"VITAL BEAUTY - vente directe sur catalogue papier et site Internet www.vitalbeauty.fr
AMAZON - site Internet","Non-conformité détectée sur la gélule vide, entrant dans la composition du produit fini.
La teneur en oxyde d'éthylène observée est supérieure à la limite maximale retenue par la législation européenne pour ce composant."
Alimentation,Aliments diététiques et nutrition,Produits phytosanitaires non autorisés,Vitalthéa / Bioénergies,Du 22/10/2021 au 05/02/2022,Vitalthéa / Bioénergies vente sur catalogue papier et site Internet www.vitalthea.com,"Non-conformité détectée sur la gélule vide, entrant dans la composition du produit fini
La teneur en oxyde d'éthylène observée est supérieure à la limite maximale retenue par la législation européenne pour ce composant."
Alimentation,Aliments diététiques et nutrition,Dépassement des limites autorisées de pesticides,Nadora,Du 26/03/2021 au 31/12/2021,Nadora.fr (site internet),Dosage en ETO non conforme sur une des matières premières du produit.
Alimentation,Lait et produits laitiers,Salmonella spp ,MATOCQ,Du 03/12/2021 au 21/12/2021,"Chez Marina, Coop U, CSF Cestas, Gourmandises montagnardes, LE marché de Sophie, Leclerc Apt, Patricia et Co, Place Serge, Romanetto Michel, SARL Molinié, Scachap, Scalandes, Syst U région sud, TFE Bègles",suspicion de salmonelle
Alimentation,Herbes et épices,Dépassement de seuils de sécurité,KNORR,Du 10/06/2021 au 16/11/2021,"Carrefour, Cora, Aldi, Auchan, ITM, Casino, Francap, Monoprix, Leclerc et Système U","Par principe de précaution et en accord avec les autorités, rappel de 3 lots de bouillons de cubes pour défaut d'emballage pouvant entrainer la migration de contaminants au delà des seuils de sécurité acceptables."
Autres,Divers,Blessures externes,Army Painter,NA,Légion Distribution contact@legion-distribution.com,contient un allergène non signalé sur l'étiquette
Alimentation,Lait et produits laitiers,Salmonella spp ,Fromagerie Anjouin,Du 01/02/2022 au 14/02/2022,"SYSTEME U, CARREFOUR",Présence de Salmonelle
Alimentation,Lait et produits laitiers,Salmonella spp ,Fromagerie Anjouin,Du 07/02/2022 au 14/02/2022,"AUCHAN, FRANCE FROMAGES SARL, SA DESAILLY, LA GRANDE CREMERIE, ODEON, ALLARD SARL, CANTREL, SCPL, PIOLLAT ETABLISSEMENTS, BUISSON SAS, UGALAIT",Présence de Salmonelle
Alimentation,Lait et produits laitiers,Salmonella spp ,Fromagerie Anjouin,Du 02/02/2022 au 14/02/2022,"ATAC, AUCHAN, SYSTEME U, COOP U, CAP CHAMPION, CARREFOUR MARKET, CARREFOUR",Présence de Salmonelle
Alimentation,Lait et produits laitiers,Salmonella spp ,Itinéraire des Saveurs,Du 30/01/2022 au 15/02/2022,INTERMARCHE,Présence de Salmonelle
Alimentation,Lait et produits laitiers,Salmonella spp ,MONOPRIX GOURMET,Du 02/02/2022 au 14/02/2022,MONOPRIX,Présence de Salmonelle
Alimentation,Lait et produits laitiers,Salmonella spp ,REFLET FRANCE,Du 31/01/2022 au 14/02/2022,"CARREFOUR, CSF, CAP ENTREPOTS, COMPTOIRS MODERNES",Suspicion de Salmonelles
Alimentation,Herbes et épices,Dépassement de seuils de sécurité,AUCHAN POUCE,Du 09/02/2021 au 14/02/2022,Magasins Auchan et toute autre enseigne susceptible de commercialiser des produits à marque Auchan,Défaut d'emballage pouvant entrainer la migration de contaminants au delà des seuils acceptables
Alimentation,Lait et produits laitiers,Salmonella spp ,NOS REGIONS ONT DU TALENT,Du 03/02/2022 au 14/02/2022,E.LECLERC,Risque de présence de Salmonelles
Alimentation,Lait et produits laitiers,Substances allergisantes non déclarées,Ferme de Kerheu,Du 08/07/2021 au 08/07/2023,Tous les distributeurs indiqués dans la liste fournie ci-dessous,Présence d'un allergène non déclaré sur l'étiquette
Alimentation,Lait et produits laitiers,Substances allergisantes non déclarées,Ferme de Kerheu,Du 12/07/2021 au 12/07/2023,Tous les distributeurs dans la liste fournie ci dessous,Présence d'un allergène non déclaré
"Appareils électriques, Outils","Appareils électriques, électroménager",Choc électrique,NEDIS,Du 15/12/2021 au 29/12/2021,See attached,"Lors de la fabrication de l'élément chauffant, une erreur s'est produite qui peut provoquer un court-circuit dans l'élément."
Alimentation,Noix et graines,Autres contaminants chimiques,LA VIE CLAIRE,NA,Magasins La Vie Claire,Détection d'un résidu de pesticides
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,RONDE DES MERS,Du 08/02/2022 au 15/02/2022,E.LECLERC,Risque de présence de Listeria monocytogenes dans le produit.
Bébés-Enfants (hors alimentaire),Jouets,Blessures externes,JAKKS,Du 25/09/2018 au 03/08/2020,Luderix international,Le guidon peut se casser et occasionner un risque de chute.
Alimentation,Lait et produits laitiers,Autres contaminants chimiques Salmonella spp ,MAISON DU FROMAGE,Du 28/01/2022 au 14/02/2022,METRO FRANCE,présence de Salmonelles
Alimentation,Aliments pour animaux domestiques,Autre risque,TYROL,Du 09/10/2020 au 08/02/2022,Jardineries,Présence de colorant non autorisé par le règlement
Alimentation,Aliments pour animaux domestiques,Autre risque,AIME,Du 10/09/2020 au 08/02/2022,"Leclerc, Carrefour, Intermarché, Amazon, System et Hyper U",Présence de colorant non autorisé par le règlement
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,MONOPRIX,Du 07/01/2022 au 15/02/2022,MONOPRIX,Suite à une alerte européenne concernant la présence d’oxyde d’éthylène à une teneur supérieure à la limite autorisée dans du gluten entrant dans la composition des produits
Alimentation,Céréales et produits de boulangerie,Autres contaminants chimiques,FRANPRIX,Du 07/01/2022 au 15/02/2022,Franprix et réseaux de distribution de Franprix,Suite à une alerte européenne concernant la présence d’oxyde d’éthylène à une teneur supérieure à la limite autorisée dans du gluten entrant dans la composition des produits
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,FERME DU CIRON,Du 25/01/2022 au 07/02/2022,"Certains magasins de POINT VERT, GAMM VERT, JARDI LECLERC
Epiceries, magasins de producteurs",Risque de présence de Listeria monocytogenes dans le produit.
Maison-Habitat,Mobilier,Blessures externes,Petite Amélie,Du 28/05/2021 au 15/12/2021,Petite Amélie,"Un test laboratoire ayant fait apparaître un risque de coincement de membre, Petite Amélie met en garde les consommateurs ayant un lit évolutif 3-en-1 (blanc ou gris) en provenance d’un des lots mentionnés ci-dessus. Aucun accident n’a été relevé."
Alimentation,Céréales et produits de boulangerie,Dépassement des limites autorisées de pesticides,CHABRIOR,Du 24/01/2022 au 16/02/2022,INTERMARCHE,La présence de résidus de pesticides a été détectée dans un ingrédient utilisé dans la recette de fabrication de pains de mie
Alimentation,Céréales et produits de boulangerie,Dépassement des limites autorisées de pesticides,CHABRIOR,Du 01/02/2022 au 16/02/2022,INTERMARCHE,La présence de résidus de pesticides a été détectée dans un ingrédient utilisé dans la recette de fabrication de pains de mie
Alimentation,Céréales et produits de boulangerie,Dépassement des limites autorisées de pesticides,CHABRIOR,Du 19/01/2022 au 16/02/2022,INTERMARCHE,La présence de résidus de pesticides a été détectée dans un ingrédient utilisé dans la recette de fabrication de pains de mie
Alimentation,Céréales et produits de boulangerie,Dépassement des limites autorisées de pesticides,NETTO,Du 26/01/2022 au 16/02/2022,NETTO,La présence de résidus de pesticides a été détectée dans un ingrédient utilisé dans la recette de fabrication de pains de mie
Alimentation,Céréales et produits de boulangerie,Dépassement des limites autorisées de pesticides,NETTO,Du 05/01/2022 au 16/02/2022,NETTO,La présence de résidus de pesticides a été détectée dans un ingrédient utilisé dans la recette de fabrication de pains de mie
Alimentation,Viandes,Listeria monocytogenes ,SANS MARQUE,Du 06/02/2022 au 07/02/2022,CARREFOUR ANTIBES HYPERMARCHE UNIQUEMENT,PRESENCE DE LISTERIA
Bébés-Enfants (hors alimentaire),Jouets,Dommages internes,FLASH 1  2  3 les petits génies ou G,Du 04/04/2017 au 17/02/2022,GIFI,Présence d'un petit élément pouvant entraîner un risque d'ingestion et d'étouffement.
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,L'ARVERNE,Du 08/02/2022 au 16/02/2022,FRUITIER DE BALLAINVILLIERS / PETIT CASINO CHABRELOCHE,PRESENCE LISTERIA MONOCYTOGENES
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,Le Pic,Du 25/01/2022 au 16/02/2022,Super U Sauveterre de Guyenne (Via le distributeur Aquitaine Fromages),Présence Listéria Monocytogenes
Alimentation,Plats préparés et snacks,Listeria monocytogenes ,LA BARRE,Du 29/01/2022 au 09/02/2022,"Transgourmet, Saveurs d'Antoine, Sastas, relais d'Or, Even restauration, Sologne frais, Pinel, Le cren, Damaje, Cantrel",Présence Listeria <10
Maison-Habitat,Produits de construction,Blessures externes,LES INDISPENSABLES,Du 01/01/2021 au 17/02/2023,"Groupe Samse, Quéguiner matériaux, VM, Raboni","- Absence indication tactile de danger
- Absence mention H317 et du nom COLOPHANE."
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,INTERPHYT,Du 26/04/2021 au 20/09/2021,INTERPHYT - Vente directe et site internet www.interphyt.com,CONTAMINATION A L'OXYDE D'ETHYLENE
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,GAEC LA BAROTIERE,Du 11/02/2022 au 16/02/2022,FROM TERROIR / LECLERC PARTHENAY / U LA CHAPELLE SAINT LAURENT / SUPER U CERIZAY / SUPER U MAULEON / INTERMARCHE LES AUBIERS / SUPER U MAULEVRIER / SUPER U THOUARS / U EXPRESS BRESSUIRE / SUPER U MAGNE / SUPER U COULONGES / FROMAGERIE BOUTHEVILLE,LISTERIA
"Appareils électriques, Outils","Appareils électriques, électroménager",Choc électrique,/,Du 11/10/2021 au 14/02/2022,Distribué en France dans les magasins de déstockage à enseigne NOZ,Produit non conforme et dangereux
Alimentation,Aliments diététiques et nutrition,Produits phytosanitaires non autorisés,OLIOSEPTIL,Du 07/09/2021 au 09/02/2022,Pharmacies / Grossistes / Site internet OLIOSEPTIL,"Présence d'ETO dans la matière première (Ocimum basilicum essential oil)
La teneur observée est supérieure à la limite maximale retenue par la législation européenne pour ce composant."
Autres,Divers,Blessures externes,STIHL,Du 22/10/2021 au 03/11/2021,Tous les distributeurs livrés de machines concernées par l'action de rappel ont été informés par STIHL France via courrier RAR. Les distributeurs informent leurs clients à qui ils ont livré des machines devant être modifiées par courrier RAR.,Le levier de déclenchement du frein de chaîne automatique peut présenter un manque de sensibilité.
Alimentation,Autres,Listeria monocytogenes ,AUCHAN,Du 11/02/2022 au 18/02/2022,AUCHAN,Présence de Listeria monocytogenes
Alimentation,Viandes,Listeria monocytogenes ,sans marque,Du 08/02/2022 au 09/02/2022,UNIQUEMENT CARREFOUR MARKET ESSARS,suspicion listeria monocytogenes
Alimentation,Produits sucrés,Patuline,Saveurs de nos régions,Du 21/12/2021 au 18/02/2022,Certains supermarchés Lidl. Voir liste jointe.,Une analyse a mise en évidence une teneur en Patuline supérieure à la limite autorisée par la réglementation européenne.
Alimentation,Produits de la pêche et d'aquaculture,"Inertes (verre, métal, plastique, papier, textile…)",sans marque,Du 18/02/2022 au 18/02/2022,Centre E.Leclerc APT,Présence possible de morceaux de verre
Alimentation,Viandes,Listeria monocytogenes ,PRODUITS DE LA CIGOGNE,Du 08/02/2022 au 10/02/2022,"Restaurants L'Alsacien Nantes, L'Alsacien Paris 4, L'Alsacien Besançon, L'Alsacien Dijon
Colmar frais (Colmar)",Suspicion de Listeria monocytogenes (moins de 10/g)
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Eismann,NA,Eismann,Une alerte a mis en évidence une teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne.
Alimentation,Viandes,Listeria monocytogenes ,Casino,Du 25/01/2022 au 21/02/2022,"CASINO, VIVAL, SPAR et réseaux de distribution de Casino",Présence de Listeria monocytogenes
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,GAEC LA BAROTIERE,Du 18/02/2022 au 18/02/2022,FROM TERROIR,LISTERIA
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,La Balade Gourmande,Du 01/05/2018 au 29/07/2021,Maximo,Teneur supérieure à la limite autorisée en oxyde d’éthylène dans un ingrédient
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,La Balade Gourmande,Du 01/05/2018 au 29/07/2021,Maximo,Teneur supérieure à la limite autorisée en oxyde d’éthylène dans un ingrédient
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,La Balade Gourmande,Du 01/05/2018 au 09/07/2021,Maximo,Teneur supérieure à la limite autorisée en oxyde d’éthylène dans un ingrédient
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,La Balade Gourmande,Du 01/05/2018 au 29/07/2021,Maximo,Teneur supérieure à la limite autorisée en oxyde d’éthylène dans un ingrédient
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,La Balade Gourmande,Du 01/05/2018 au 10/06/2021,Maximo,Teneur supérieure à la limite autorisée en oxyde d’éthylène dans un ingrédient
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,La Balade Gourmande,Du 01/05/2018 au 29/07/2021,Maximo,Teneur supérieure à la limite autorisée en oxyde d’éthylène dans un ingrédient
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,RONDE DES MERS,Du 01/02/2022 au 21/02/2022,E.LECLERC,Risque de présence de Listeria monocytogenes dans le produit.
Maison-Habitat,Produits chimiques,Intoxication,Les Parfums d'Ugo,Du 27/07/2021 au 18/10/2021,"Les Parfums d'Ugo
Produits vendus sur le site internet: www.parfums-ugo.fr",Emballage et étiquetage non conformes minimisant les risques inhérents à l'utilisation du produit
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 10/01/2020 au 01/01/2022,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 23/04/2018 au 08/08/2020,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 24/09/2019 au 09/12/2021,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 16/01/2020 au 09/01/2022,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 30/08/2019 au 18/12/2021,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 27/07/2018 au 25/10/2020,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 23/07/2018 au 30/04/2021,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 24/08/2018 au 05/12/2020,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 24/08/2018 au 30/04/2021,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 18/10/2018 au 11/05/2019,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 24/08/2018 au 05/12/2020,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,Toupargel,Du 06/08/2018 au 30/04/2021,PLACE DU MARCHE,"Nous tenons à vous informer, que suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée, et comme un grand nombre d’acteurs de la distribution, nous devons procéder au rappel"
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,SANS MARQUE,Du 24/08/2018 au 21/02/2022,METRO,Teneur supérieure à la limite autorisée en oxyde d'éthylène dans un ingrédient
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,SANS MARQUE,Du 04/09/2019 au 21/02/2022,METRO,Teneur supérieure à la limite autorisée en oxyde d'éthylène dans un ingrédient
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,SANS MARQUE,Du 28/02/2019 au 21/02/2022,METRO,Teneur supérieure à la limite autorisée en oxyde d'éthylène dans un ingrédient
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,TOP BUDGET,Du 10/09/2019 au 25/02/2022,"INTERMARCHE 
NETTO",Teneur supérieure à la limite autorisée en oxyde d’éthylène dans un ingrédient
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,NETTO,Du 30/07/2019 au 25/02/2022,NETTO,Teneur supérieure à la limite autorisée en oxyde d’éthylène dans un ingrédient
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,NETTO,Du 25/07/2018 au 25/02/2022,NETTO,Teneur supérieure à la limite autorisée en oxyde d’éthylène dans un ingrédient
Alimentation,Produits sucrés,Additifs et arômes dépassement des seuils de sécurité,FIZZY,Du 29/06/2021 au 09/12/2021,"AUCHAN, CARREFOUR, CHAMPION, E. LECLERC, CORA, INTERMARCHE, SYSTEME U",PRESENCE D'UN COLORANT (E122) EN TENEUR SUPERIEURE A LA LIMITE MAXIMALE REGLEMENTAIRE.
Alimentation,Lait et produits laitiers,Dépassement des limites autorisées de pesticides,Carrefour Sensation,Du 11/03/2021 au 22/02/2022,Carrefour,Alerte du fournisseur de mélange d'additifs stabilisants (dont farine de graines de caroube) et identification d'un lot d’additif dont la teneur en oxyde d’éthylène est supérieure à la limite autorisée.
Alimentation,Produits de la pêche et d'aquaculture,Listeria monocytogenes ,EMILE FOURNIER ET FILS,Du 18/02/2022 au 22/02/2022,E. LECLERC,Listeria monocytogénes détectée
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,SANS MARQUE,Du 24/04/2020 au 20/01/2021,ARGEL,Teneur en oxyde d'éthylène supérieure à la limite autorisée par la règlementation européenne dans la gomme de guar rentrant dans la composition des produits
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,ARGEL,Du 12/03/2019 au 25/10/2019,ARGEL,Teneur en oxyde d'éthylène supérieure à la limite autorisée par la règlementation européenne dans  la gomme de guar rentrant dans  la composition des produits
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,ARGEL,Du 26/07/2018 au 24/11/2018,ARGEL,Teneur en oxyde d'éthylène supérieure à la limite autorisée par la règlementation européenne dans la gomme de guar rentrant dans la composition des produits
Alimentation,Lait et produits laitiers,Autres contaminants chimiques,ARGEL,Du 05/07/2019 au 26/06/2020,ARGEL,Teneur en oxyde d'éthylène supérieure à la limite autorisée par la règlementation européenne dans  la gomme de guar rentrant dans la composition des produits
